"Index Name","Event Date","Scrip Name","Description"
"S&P CNX 500 Equity Index","07/12/2001","Mukta Arts Ltd","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Neyveli Lignite Corporation Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Origin Agrostar Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Saurashtra Cement Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Smithkline Beecham Pharmaceuticals (I) Ltd.-Merged","Exclusion from Index"
"S&P CNX 500 Equity Index","07/12/2001","Soundcraft Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Sterling Biotech Ltd","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Sterlite Technologies Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Syndicate Bank","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Tips Industries Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","07/12/2001","Vikas WSP Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","17/01/2002","Alpic Finance Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","17/01/2002","DCM Shriram Consolidated Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","17/01/2002","Hind Syntex Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","17/01/2002","Jammu & Kashmir Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","17/01/2002","Phillips Carbon Black Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","17/01/2002","Rhone-Poulenc (India) Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","17/01/2002","Sun Earth Ceramics Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","17/01/2002","Tata Teleservices (Maharashtra) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/01/2002","Aptech Ltd. (Erstwhile)","Exclusion from Index"
"S&P CNX 500 Equity Index","29/01/2002","Infotech Enterprises Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Aftek Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Alstom Projects India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Ambalal Sarabhai Enterprises Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Bank of Rajasthan Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Birla Power Solutions Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Caprihans India Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Centak Chemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Creative Eye Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","DCL Polyesters Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Elecon Engineering Co. Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Geometric Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","I G Petrochemicals Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Infar (India) Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Information Technologies India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Karnataka Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Kerala Chemicals & Proteins Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Kothari Products Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Lloyds Finance Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Lloyds Steel Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Oswal Agro Mills Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","PNB Gilts Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Phoenix International Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Prism Cement Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Punjab Chemicals & Crop Protection Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Reliance MediaWorks Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Sona Koyo Steering Systems Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","South Indian Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Transpek Industry Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","29/03/2002","Vision Organics Ltd","Inclusion into Index"
"S&P CNX 500 Equity Index","29/03/2002","Williamson Tea Assam Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","AP Paper Mills Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Ajanta Pharmaceuticals Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","Andhra Bank","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","Bajaj Hindusthan Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Blow Plast Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Blue Star Infotech Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","Can Fin Homes Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","City Union Bank Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","Eicher Motors Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","FCI OEN Connectors Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","GSL Nova Petrochemicals Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","Ganesh Benzoplast Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Grindwell Norton Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Havell's India Ltd.","Inclusion into Index"
"S&P CNX 500 Equity Index","23/04/2002","Hitech Drilling Services India Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Hyderabad Industries Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","I T C Bhadrachalam Paper Boards Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","ICICI Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","IP Rings Ltd.","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","ITW Signode India Ltd.- Sus","Exclusion from Index"
"S&P CNX 500 Equity Index","23/04/2002","Indian Overseas Bank ","Inclusion into Index"
