Month,Symbol
1212,KSK
1212,KSOILS
1212,KTKBANK
1212,KWALITY
1212,L&TFH
1212,LAKSHVILAS
1212,LAXMIMACH
1212,LICHSGFIN
1212,LITL
1212,LOVABLE
1212,LT
1212,LUPIN
1212,M&M
1212,M&MFIN
1212,MADRASCEM
1212,MAHLIFE
1212,MAHSEAMLES
1212,MANDHANA
1212,MANGCHEFER
1212,MANINFRA
1212,MARICO
1212,MARUTI
1212,MASTEK
1212,MAX
1212,MCDOWELL-N
1212,MCLEODRUSS
1212,MERCATOR
1212,MERCK
1212,MINDTREE
1212,MONNETISPA
1212,MONSANTO
1212,MOTHERSUMI
1212,MOTILALOFS
1212,MPHASIS
1212,MRF
1212,MRPL
1212,MTNL
1212,MUTHOOTFIN
1212,MVL
1212,NATIONALUM
1212,NAUKRI
1212,NAVNETPUBL
1212,NBVENTURES
1212,NCC
1212,NETWORK18
1212,NEYVELILIG
1212,NHPC
1212,NIITLTD
1212,NILKAMAL
1212,NMDC
1212,NOIDATOLL
1212,NTPC
1212,OBEROIRLTY
1212,OFSS
1212,OIL
1212,OMAXE
1212,ONGC
1212,OPTOCIRCUI
1212,ORBITCORP
1212,ORCHIDCHEM
1212,ORIENTBANK
1212,ORIENTHOT
1212,ORIENTPPR
1212,ORISSAMINE
1212,PAGEIND
1212,PANTALOONR
1212,PARSVNATH
1212,PATELENG
