"Name","Symbol","Auto"
"Indo Gulf Corporation Ltd.","INDOGULF",1
"Indo Rama Synthetics (India) Ltd. - Old","INDORAMA",1
"Infomedia 18 Ltd.","INFOMEDIA",1
"Infosys Technologies Ltd.","INFY",1
"Ingersoll Rand (India) Ltd.","INGERRAND",1
"Ipca Laboratories Ltd.","IPCALAB",1
"Ispat Industries Ltd.","NIPPONDENR",1
"J.B. Chemicals & Pharmaceuticals Ltd.","JBCHEPHARM",1
"JBF Industries Ltd.","JBFIND",1
"JCT Electronics Ltd.","JCTEL",1
"JD Orgochem Ltd.","JDORGO",1
"JK Lakshmi Cement Ltd.","JKLAKSHMI",1
"JK Tyre & Industries Ltd..","JKTYRE",1
"Jain Irrigation Systems Ltd. (Old)","JISLJALEQS",1
"Jay Shree Tea & Industries Ltd.","JAYSREETEA",1
"Jindal Photo Ltd.","JINDALFOTO",1
"Jindal Saw Ltd.","JINDALSAW",1
"Jyoti Structures Ltd.","JYOTISTRUC",1
"KSB Pumps Ltd.","KSBPUMPS",1
"Kajaria Ceramics Ltd.","KAJARIACER",1
"Kalyani Steels Ltd.","KSL",1
"Kansai Nerolac Paints Ltd.","KANSAINER",1
"Kesoram Industries Ltd.","KESORAMIND",1
"Kirloskar Industries Ltd.","KIRLOSIND",1
"Kitply Industries Ltd.","KITPLYIND",1
"Kochi Refineries Ltd.","COCHINREFN",1
"Kopran Ltd.","KOPRAN",1
"Kotak Mahindra Bank Ltd.","KOTAKBANK",1
"Krishna Filaments Ltd.","KRISNAFILA",1
"Krishna Lifestyle Technologies Ltd.","SHREEKRPOL",1
"LIC Housing Finance Ltd.","LICHSGFIN",1
"LML Ltd.","LML",1
"Lakshmi Machine Works Ltd.","LAXMIMACH",1
"Lloyds Finance Ltd.","LLOYDFIN",1
"Lloyds Steel Industries Ltd.","LLOYDSTEEL",1
"Lumax Industries Ltd.","LUMAXIND",1
"MRF Ltd.","MRF",1
"Madras Cements Ltd.","MADRASCEM",1
"Madura Coats Ltd.","MADURACOAT",1
"Mahanagar Telephone Nigam Ltd.","MTNL",1
"Maharashtra Scooters Ltd.","MAHSCOOTER",1
"Maharashtra Seamless Ltd.","MAHSEAMLES",1
"Mahindra & Mahindra Ltd.","M&M",1
"Mahindra Ugine Steel Co. Ltd.","MAHINDUGIN",1
"Mangalam Cement Ltd.","MANGLMCEM",1
"Maral Overseas Ltd.","MARALOVER",1
"Mardia Chemicals Ltd.","MARDIACHEM",1
"Marico Ltd.","MARICO",1
"Mastek Ltd.","MASTEK",1
"Max India Ltd.","MAX",1
"Merck Ltd.","MERCK",1
"Micro Inks Ltd.","MICRO",1
"Mirc Electronics Ltd.","MIRCELECTR",1
"Modern Terry Towels Ltd.","MODERNWOOL",1
"Modi Rubber Ltd.","MODIRUBBER",1
"Morepen Laboratories Ltd.","MOREPENLAB",1
"Munjal Showa Ltd.","MUNJALSHOW",1
"NEPC Agro Foods Ltd.","NEPCAGRO",1
"NEPC India Ltd","NEPCMICON",1
"NOCIL Ltd.","NOCIL",1
"Nahar Industrial Enterprises Ltd.","NAHARINDUS",1
"Nahar Investments and Holding Ltd.","NAHARPOLY",1
"Nahar Spinning Mills Ltd.","NAHARSPING",1
"Navneet Publications (India) Ltd.","NAVNETPUBL",1
"Nestle India Ltd.","NESTLEIND",1
"Nirma Ltd.","NIRMA",1
"Oil Country Tubular Ltd.","OILCOUNTUB",1
"Orchid Chemicals & Pharmaceuticals Ltd.","ORCHIDCHEM",1
"Orient Paper & Industries Ltd.","ORIENTPPR",1
"Oriental Bank of Commerce","ORIENTBANK",1
"Oriental Hotels Ltd.","ORIENTHOT",1
"Oswal Agro Mills Ltd.","OSWALAGRO",1
"Oswal Chemicals & Fertilizers Ltd.","BINDALAGRO",1
"PHIL Corporation Ltd.","PHILCORP",1
"Parekh Platinum Ltd.","PAREKHPLAT",1
"Patheja Forgings & Auto Parts Manufacturers Ltd.","PATHEJAFOR",1
"Peacock Industries Ltd.","PEACOCKIND",1
"Peninsula Land Ltd.","PENINLAND",1
"Pentamedia Graphics Ltd.","PENTSFWARE",1
"Pfizer Ltd.","PFIZER",1
"Phillips Carbon Black Ltd.","PHILIPCARB",1
"Pidilite Industries Ltd.","PIDILITIND",1
"Piramal Healthcare Ltd.","PIRAMHELTH",1
"Prakash Industries Ltd.","PRAKASH",1
"Premier Ltd.","PREMIER",1
"Prime Securities Ltd.","PRIMESECU",1
"Procter & Gamble Hygiene & Health Care Ltd.","PGHH",1
"Pudumjee Pulp & Paper Mills Ltd.","PDUMJEPULP",1
"Punjab Chemicals & Crop Protection Ltd.","PUNJABCHEM",1
"RPG Cables Ltd.","RPGCABLES",1
"RPG Transmission Ltd.","RPGTLTD",1
"RSWM Ltd.","RSWM",1
"Rajinder Steels Ltd.","RAJINSTEEL",1
"Ranbaxy Laboratories Ltd.","RANBAXY",1
"Rashtriya Chemicals & Fertilizers Ltd.","RCF",1
"Raymond Ltd.","RAYMOND",1
"Reckitt Benckiser (India) Ltd","RECKCOLMAN",1
"Recron Synthetics Ltd.","RAYMONDSYN",1
"Reliance Capital Ltd.","RELCAPITAL",1
"Reliance Industrial Infrastructure Ltd.","RIIL",1
"Reliance Industries Ltd.","RELIANCE",1
"Reliance Infrastructure Ltd.","RELINFRA",1
"Rico Auto Industries Ltd.","RICOAUTO",1
"Rolta India Ltd.","ROLTA",1
"Ruchi Soya Industries Ltd.","RUCHISOYA",1
"SIV Industries Ltd.","SIVIND",1
"SKF India Ltd.","SKFINDIA",1
"SRF Ltd.","SRF",1
"Sakthi Sugars Ltd.","SAKHTISUG",1
"Samtel Color Ltd.","SAMTEL",1
"Satyam Computer Services Ltd.","SATYAMCOMP",1
"Saurashtra Cement Ltd.","SAURASHCEM",1
"Schenectady Beck India Ltd.","DRBECK",1
"Sesa Goa Ltd.","SESAGOA",1
"Seshasayee Paper & Boards Ltd.","SESHAPAPER",1
"Shipping Corporation of India Ltd.","SCI",1
"Shree Cement Ltd.","SHREECEM",1
"Shrenuj & Co. Ltd.","SHRENUJ",1
"Siemens Ltd.","SIEMENS",1
"Snowcem India Ltd.","SNOWCEMIND",1
"Sona Koyo Steering Systems Ltd.","SONASTEER",1
"Southern Petrochemicals Industries Corporation Ltd.","SPIC",1
"State Bank of India","SBIN",1
"Steel Authority of India Ltd.","SAIL",1
"Sterlite Industries (India) Ltd (Erstwhile)","STER",1
"Su-Raj Diamonds & Jewellery Ltd.","WINSOMEDJ",1
"Sudarshan Chemical Industries Ltd.","SUDARSCHEM",1
"Summit Securities Ltd.","SUMMIT",1
"Sun Pharmaceutical Industries Ltd.","SUNPHARMA",1
"Sundaram Clayton Ltd.","SUNCLAYLTD",1
"Sundram Fasteners Ltd.","SUNDRMFAST",1
"Supreme Industries Ltd.","SUPREMEIND",1
"Supreme Petrochem Ltd.","SUPPETRO",1
"Swaraj Engines Ltd.","SWARAJENG",1
"Synthetics & Chemicals Ltd.","SYNTHCHEM",1
"Tamil Nadu Newsprint & Papers Ltd.","TNPL",1
"Tamilnadu Petroproducts Ltd.","TNPETRO",1
"Tata Chemicals Ltd.","TATACHEM",1
"Tata Communications Ltd.","TATACOMM",1
"Tata Elxsi Ltd.","TATAELXSI",1
"Tata Global Beverages Ltd.","TATAGLOBAL",1
