Name,Symbol,Auto
Tamilnadu Petroproducts Ltd.,01/08/1998,0
Tata Chemicals Ltd.,TATACHEM,1
Tata Communications Ltd.,TATACOMM,1
Tata Elxsi Ltd.,TATAELXSI,1
Tata Finance Ltd.,01/08/1998,0
Tata Global Beverages Ltd.,TATAGLOBAL,1
Tata Hydro-Electric Power Supply Co. Ltd.,01/08/1998,0
Tata Infotech Ltd.-Merged,01/08/1998,0
Tata Investment Corporation Ltd.,01/08/1998,0
Tata Motors Ltd.,TATAMOTORS,1
Tata Power Co. Ltd.,01/08/1998,0
Tata SSL Ltd.,01/08/1998,0
Tata Sponge Iron Ltd.,TATASPONGE,1
Tata Steel Ltd.,TATASTEEL,1
Textool Co. Ltd.- Merger,01/08/1998,0
Thermax Ltd.,THERMAX,1
Thiru Arooran Sugars Ltd.,01/08/1998,0
Thomas Cook (India) Ltd.,THOMASCOOK,1
Timex Watches Ltd.,01/08/1998,0
Timken India Ltd.,01/08/1998,0
Titan Industries Ltd.,TITAN,1
Torrent Pharmaceuticals Ltd.,01/08/1998,0
Torrent Power AEC Ltd.,01/08/1998,0
Transpek Industry Ltd.,01/08/1998,0
Trent Ltd.,TRENT,1
Trigyn Technologies Ltd.,01/08/1998,0
Triveni Engineering & Industries Ltd. (Old),01/08/1998,0
Tube Investments of India Ltd.,TUBEINVEST,1
UCAL Fuel Systems Ltd.,UCALFUEL,1
UFLEX Ltd.,UFLEX,1
Unitech Ltd.,UNITECH,1
United Breweries Ltd.-Old,01/08/1998,0
United Phosphorous Ltd. -Sus,01/08/1998,0
Usha (India) Ltd.,01/08/1998,0
Usha Martin Ltd.,USHAMART,1
Uttam Galva Steels Ltd.,UTTAMSTL,1
V.I.P. Industries Ltd.,01/08/1998,0
VLS Finance Ltd.,01/08/1998,0
VST Industries Ltd.,VSTIND,1
Value Industries Ltd.,VALUEIND,1
Vardhman Holdings Ltd.,01/08/1998,0
Vardhman Textiles Ltd.,VTL,1
Varun Shipping Co. Ltd.,01/08/1998,0
Vesuvius India Ltd.,VESUVIUS,1
Videocon International Ltd.,01/08/1998,0
Vikas WSP Ltd.,01/08/1998,0
Vindhya Telelinks Ltd.,01/08/1998,0
Vinyl Chemicals (India) Ltd.,01/08/1998,0
Viral Filaments Ltd.,01/08/1998,0
Voltas Ltd.,VOLTAS,1
Warren Tea Ltd.,01/08/1998,0
Wartsila India Ltd.,01/08/1998,0
Western India Industries Ltd.,01/08/1998,0
Whirlpool of India Ltd.,WHIRLPOOL,1
Widia (India) Ltd.,01/08/1998,0
Wimco Ltd.-Delisted,01/08/1998,0
Windsor Machines Ltd.,01/08/1998,0
Wipro Ltd.,WIPRO,1
Wockhardt Ltd. (old),01/08/1998,0
Woolworth (India) Ltd.,01/08/1998,0
Wyeth Ltd.,WYETH,1
Yokogawa Ltd.,01/08/1998,0
